"weightid","weight","activation.type","dataset","n","response.levels","n.levels","n.predictors","cluster","dataset.cluster","layer"
"h2_w00",0.0661730542778969,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w01",-0.244555652141571,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w02",0.0207915250211954,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w03",0.535369336605072,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w04",-0.375257849693298,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w05",-0.179439604282379,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w06",0.184381097555161,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w07",0.517011940479279,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w08",0.0332719273865223,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w09",-0.472135037183762,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w10",-0.329634308815002,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w11",0.0423147790133953,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w12",0.331912249326706,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w13",0.146997258067131,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w14",-0.465479612350464,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w15",0.127706557512283,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w16",0.0366321541368961,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w17",-0.232086762785912,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w18",0.48161968588829,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w19",-0.414961010217667,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w20",0.183563694357872,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w21",-0.164477795362473,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w22",0.167430058121681,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w23",0.0882134884595871,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w24",0.148723065853119,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w25",-0.474637657403946,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w26",-0.54069572687149,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w27",-0.191147267818451,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w28",0.213366121053696,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w29",0.34686267375946,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w30",0.389391452074051,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w31",-0.112678289413452,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w32",-0.0288420654833317,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w33",0.150463312864304,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w34",-0.0592132844030857,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w35",0.168679937720299,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w36",-0.0570043623447418,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w37",0.0367227792739868,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w38",-0.401466250419617,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w39",0.29175478219986,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w40",-0.226860031485558,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w41",0.165689244866371,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w42",-0.0733693614602089,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w43",0.131344616413116,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w44",-0.0378955490887165,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w45",0.123652964830399,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w46",0.287958800792694,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w47",0.0539827346801758,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w48",-0.527062177658081,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w49",-0.293820470571518,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w50",-0.151699379086494,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w51",0.44547164440155,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w52",0.290360003709793,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w53",0.153379321098328,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w54",0.224355280399323,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w55",-0.033502072095871,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w56",0.0836058035492897,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w57",-0.00546586513519287,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w58",-0.488820731639862,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w59",0.260560005903244,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w60",0.538474082946777,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w61",0.0655864477157593,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w62",-0.482677161693573,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w63",0.315594583749771,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w64",0.365256249904633,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w65",-0.0350270979106426,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w66",0.05695740878582,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w67",-0.332409888505936,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w68",-0.492040276527405,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w69",-0.204211696982384,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w70",-0.385477334260941,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w71",-0.221285134553909,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w72",0.542279362678528,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w73",0.0859941989183426,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w74",-0.201460137963295,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w75",-0.509444057941437,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w76",-0.532382369041443,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w77",0.375262677669525,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w78",0.312530666589737,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w79",-0.252727806568146,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w80",0.0924402922391891,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w81",0.252277553081512,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w82",0.169038593769073,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w83",0.265296667814255,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w84",-0.0492293313145638,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w85",0.453755259513855,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w86",0.333400368690491,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w87",0.246048271656036,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w88",-0.35805869102478,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w89",0.200114458799362,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w90",0.520869612693787,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w91",-0.373005479574203,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w92",0.420919865369797,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w93",0.176541164517403,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w94",-0.09993876516819,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w95",0.321306705474854,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w96",0.476620048284531,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w97",0.367178112268448,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w98",0.124625951051712,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h2_w99",-0.0134088126942515,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden2"
"h3_w00",0.250529557466507,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w01",0.264555871486664,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w02",-0.461719006299973,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w03",0.511944532394409,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w04",0.517942428588867,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w05",-0.174386218190193,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w06",-0.35780668258667,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w07",0.174053505063057,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w08",-0.429862022399902,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w09",-0.372167617082596,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w10",0.430737435817719,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w11",-0.12605220079422,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w12",-0.435793966054916,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w13",-0.156022727489471,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w14",0.396054923534393,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w15",0.324178159236908,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w16",-0.170336350798607,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w17",0.380462288856506,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w18",-0.311552107334137,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w19",0.309063047170639,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w20",-0.379442274570465,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w21",-0.243977144360542,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w22",0.426065146923065,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w23",-0.199105471372604,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w24",0.542217791080475,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w25",-0.20383220911026,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w26",0.197997406125069,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w27",0.252256006002426,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w28",-0.515691995620728,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w29",-0.151569962501526,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w30",0.425353556871414,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w31",-0.0816040933132172,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w32",0.233946591615677,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w33",-0.0234407931566238,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w34",0.0832300335168839,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w35",0.270130485296249,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w36",-0.264052480459213,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w37",-0.483575820922852,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w38",0.450855731964111,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w39",-0.404393702745438,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w40",0.0991689413785934,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w41",-0.170877665281296,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w42",0.132396787405014,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w43",0.158425331115723,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w44",-0.323565304279327,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w45",0.408911645412445,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w46",-0.150841251015663,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w47",0.482148736715317,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w48",0.107900284230709,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w49",-0.200691685080528,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w50",-0.250503361225128,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w51",0.304882913827896,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w52",0.277918785810471,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w53",0.0262103416025639,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w54",0.111776240170002,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w55",-0.534640669822693,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w56",-0.0538173504173756,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w57",-0.306861132383347,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w58",-0.00743926456198096,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w59",0.0873247236013412,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w60",-0.510077714920044,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
