dataset,type,use.this,index.of.response,notes
acute,downloaded,yes,last,last two columns could be response
adult,downloaded,yes,last,
arrhythmia,downloaded,yes,last,made 1=1; otherwise abnormal=0
balance-scale,downloaded,yes,first,
blood-transfusion,downloaded,yes,last,
breast-cancer-wisconsin,downloaded,yes,first,removed col1
car,downloaded,yes,last,collapse unacc versus other
cmc,downloaded,yes,last,
credit-screening,downloaded,yes,last, + to 1 and - to 0
cylinder-bands,downloaded,yes,last,
dermatology,downloaded,yes,last,
echocardiogram,downloaded,yes,first,
ecoli,downloaded,yes,last,"removed rows oML, iML, iMS"
glass,downloaded,yes,last,removed first (id)
haberman,downloaded,yes,last,
hayes-roth,downloaded,yes,last,
hepatitis,downloaded,yes,first,
horse-colic,downloaded,yes,first,removed col3
image,downloaded,yes,first,
ionosphere,downloaded,yes,last,
iris,downloaded,yes,last,
letter-recognition,downloaded,yes,first,
lung-cancer,downloaded,yes,first,
magic,downloaded,yes,last,
mammographic-masses,downloaded,yes,last,
mushroom,downloaded,yes,first,
nursery,downloaded,yes,last,removed last
parkinsons,downloaded,yes,first,
pima-indians-diabetes,downloaded,yes,last,
postoperative-patient-data,downloaded,yes,last,removed rows intensive care(2 obs)
soybean,downloaded,yes,last,
spambase,downloaded,yes,last,
tae,downloaded,yes,last,
tic-tac-toe,downloaded,yes,last,
voting-records,downloaded,yes,first,
wine,downloaded,yes,first,
yeast,downloaded,yes,last,removed ERL class
zoo,downloaded,yes,last,removed col1
ad,manual,yes,last,
bridges,manual,yes,last,this one might get pushback as a classification problem
covtype,manual,yes,last,
isolet,manual,yes,last,
kddcup,manual,yes,last,
king-rook-vs-king-pawn,manual,yes,last,
king-rook-vs-king,manual,yes,last,
monks-problems,manual,yes,first,removed last
page-blocks,manual,yes,last,
poker-hand,manual,yes,last,
SPECT,manual,yes,first,
SPECTF,manual,yes,first,
abalone,downloaded,no,last,need to cluster age to classification problem
mfeat-fac,manual,no,last,set 0-9 by 200 obs each
mfeat-fou,manual,no,last,set 0-9 by 200 obs each
mfeat-kar,manual,no,last,set 0-9 by 200 obs each
mfeat-pix,manual,no,last,set 0-9 by 200 obs each
mfeat-zer,manual,no,last,set 0-9 by 200 obs each
semeion,downloaded,no,,0.0.1.1.2.2.3.3.4.4.5.5.6.6.7.7.8.8.9.9.0.0..
control1,self,yes,last,
control2,self,yes,last,
